timestamp,avg,min_v,max_v,stddev_v
"2022-12-19T00:00:00Z","51.9","51.8","52.1","null"
"2022-12-18T23:45:00Z","51.6","51.4","51.7","null"
"2022-12-18T23:30:00Z","51.3","51.2","51.4","null"
"2022-12-18T23:15:00Z","51.2","51.2","51.3","null"
"2022-12-18T23:00:00Z","51.4","51.3","51.6","null"
"2022-12-18T22:45:00Z","51.0","50.7","51.2","null"
"2022-12-18T22:30:00Z","50.7","50.6","50.8","null"
"2022-12-18T22:15:00Z","50.7","50.6","50.8","null"
"2022-12-18T22:00:00Z","50.5","50.3","50.7","null"
"2022-12-18T21:45:00Z","50.7","50.3","50.9","null"
"2022-12-18T21:30:00Z","50.9","50.4","51.4","null"
"2022-12-18T21:15:00Z","51.5","51.3","51.7","null"
"2022-12-18T21:00:00Z","51.6","51.2","51.9","null"
"2022-12-18T20:45:00Z","51.0","50.8","51.2","null"
"2022-12-18T20:30:00Z","50.5","50.3","50.7","null"
"2022-12-18T20:15:00Z","50.0","49.8","50.2","null"
"2022-12-18T20:00:00Z","49.4","49.1","49.7","null"
"2022-12-18T19:45:00Z","48.8","48.7","48.9","null"
"2022-12-18T19:30:00Z","48.6","48.4","48.8","null"
"2022-12-18T19:15:00Z","47.9","47.6","48.3","null"
"2022-12-18T19:00:00Z","47.6","47.4","47.7","null"
"2022-12-18T18:45:00Z","47.0","46.4","47.6","null"
"2022-12-18T18:30:00Z","46.7","46.3","47.1","null"
"2022-12-18T18:15:00Z","47.8","47.2","48.4","null"
"2022-12-18T18:00:00Z","48.6","48.3","48.9","null"
"2022-12-18T17:45:00Z","48.9","48.7","49.1","null"
"2022-12-18T17:30:00Z","48.6","48.4","48.8","null"
"2022-12-18T17:15:00Z","49.4","48.9","49.9","null"
"2022-12-18T17:00:00Z","49.7","49.6","49.8","null"
"2022-12-18T16:45:00Z","49.5","49.3","49.7","null"
"2022-12-18T16:30:00Z","48.7","48.2","49.2","null"
"2022-12-18T16:15:00Z","48.4","47.9","48.9","null"
"2022-12-18T16:00:00Z","49.4","49.1","49.7","null"
"2022-12-18T15:45:00Z","49.8","49.7","49.8","null"
"2022-12-18T15:30:00Z","49.2","48.9","49.6","null"
"2022-12-18T15:15:00Z","48.2","47.7","48.8","null"
"2022-12-18T15:00:00Z","47.8","47.7","47.8","null"
"2022-12-18T14:45:00Z","47.9","47.8","48.1","null"
"2022-12-18T14:30:00Z","49.2","48.2","50.2","null"
"2022-12-18T14:15:00Z","50.2","50.2","50.3","null"
"2022-12-18T14:00:00Z","50.2","50.1","50.3","null"
"2022-12-18T13:45:00Z","49.6","49.3","49.9","null"
"2022-12-18T13:30:00Z","49.5","49.3","49.6","null"
"2022-12-18T13:15:00Z","48.9","48.6","49.2","null"
"2022-12-18T13:00:00Z","49.1","48.4","49.6","null"
"2022-12-18T12:45:00Z","49.1","48.9","49.2","null"
"2022-12-18T12:30:00Z","49.2","49.1","49.3","null"
"2022-12-18T12:15:00Z","49.5","49.4","49.6","null"
"2022-12-18T12:00:00Z","49.3","49.2","49.4","null"
"2022-12-18T11:45:00Z","49.5","49.1","49.9","null"
"2022-12-18T11:30:00Z","49.6","49.3","50.1","null"
"2022-12-18T11:15:00Z","49.7","49.4","49.9","null"
"2022-12-18T11:00:00Z","48.8","48.3","49.3","null"
"2022-12-18T10:45:00Z","47.9","47.6","48.2","null"
"2022-12-18T10:30:00Z","49.3","48.2","50.4","null"
"2022-12-18T10:15:00Z","50.1","49.7","50.6","null"
"2022-12-18T10:00:00Z","50.3","50.1","50.6","null"
"2022-12-18T09:45:00Z","50.2","49.9","50.4","null"
"2022-12-18T09:30:00Z","49.3","48.8","49.8","null"
"2022-12-18T09:15:00Z","50.1","49.4","50.7","null"
"2022-12-18T09:00:00Z","51.3","50.6","52.1","null"
"2022-12-18T08:45:00Z","52.9","52.2","53.7","null"
"2022-12-18T08:30:00Z","54.1","53.8","54.4","null"
"2022-12-18T08:15:00Z","54.5","54.4","54.6","null"
"2022-12-18T08:00:00Z","54.2","53.9","54.3","null"
"2022-12-18T07:45:00Z","54.8","54.4","55.2","null"
"2022-12-18T07:30:00Z","55.2","54.9","55.4","null"
"2022-12-18T07:15:00Z","55.2","54.9","55.6","null"
"2022-12-18T07:00:00Z","55.8","55.6","55.9","null"
"2022-12-18T06:30:00Z","56.0","55.9","56.1","null"
"2022-12-18T06:15:00Z","55.9","55.9","55.9","null"
"2022-12-18T06:00:00Z","56.0","55.9","56.1","null"
"2022-12-18T05:45:00Z","56.0","55.9","56.1","null"
"2022-12-18T05:30:00Z","56.2","55.8","56.6","null"
"2022-12-18T05:15:00Z","56.7","56.7","56.7","null"
"2022-12-18T04:45:00Z","56.6","56.6","56.6","null"
"2022-12-18T04:30:00Z","56.3","56.1","56.4","null"
"2022-12-18T04:15:00Z","56.4","56.3","56.6","null"
"2022-12-18T04:00:00Z","56.6","56.6","56.6","null"
"2022-12-18T03:45:00Z","56.4","56.3","56.4","null"
"2022-12-18T03:30:00Z","55.9","55.6","56.2","null"
"2022-12-18T03:15:00Z","55.4","55.3","55.4","null"
"2022-12-18T03:00:00Z","55.4","55.4","55.4","null"
"2022-12-18T02:15:00Z","55.5","55.4","55.6","null"
"2022-12-18T02:00:00Z","55.2","54.8","55.4","null"
"2022-12-18T01:45:00Z","54.8","54.6","55.1","null"
"2022-12-18T01:30:00Z","54.8","54.7","54.8","null"
"2022-12-18T01:15:00Z","54.4","54.3","54.6","null"
"2022-12-18T01:00:00Z","54.1","53.9","54.2","null"
"2022-12-18T00:45:00Z","53.8","53.7","53.8","null"
"2022-12-18T00:30:00Z","53.7","53.6","53.8","null"
"2022-12-18T00:15:00Z","53.4","53.3","53.6","null"
"2022-12-18T00:00:00Z","53.3","53.2","53.4","null"
"2022-12-17T23:45:00Z","53.5","53.3","53.7","null"
"2022-12-17T23:30:00Z","53.7","53.6","53.8","null"
"2022-12-17T23:15:00Z","53.3","53.2","53.4","null"
"2022-12-17T23:00:00Z","52.9","52.8","53.1","null"
"2022-12-17T22:45:00Z","52.3","51.9","52.7","null"
"2022-12-17T22:30:00Z","52.8","52.6","52.9","null"
"2022-12-17T22:15:00Z","52.6","52.4","52.7","null"
"2022-12-17T22:00:00Z","52.3","52.3","52.3","null"
"2022-12-17T21:45:00Z","52.4","52.2","52.6","null"
"2022-12-17T21:30:00Z","52.1","51.8","52.3","null"
"2022-12-17T21:15:00Z","52.5","52.1","52.9","null"
"2022-12-17T21:00:00Z","53.1","53.1","53.1","null"
"2022-12-17T20:45:00Z","53.0","52.9","53.1","null"
"2022-12-17T20:30:00Z","52.6","52.4","52.8","null"
"2022-12-17T20:15:00Z","52.6","52.6","52.7","null"
"2022-12-17T20:00:00Z","52.8","52.8","52.8","null"
"2022-12-17T19:45:00Z","52.8","52.7","52.8","null"
"2022-12-17T19:30:00Z","52.6","52.4","52.7","null"
"2022-12-17T19:15:00Z","52.2","52.1","52.3","null"
"2022-12-17T19:00:00Z","51.6","51.3","51.9","null"
"2022-12-17T18:45:00Z","51.4","51.2","51.6","null"
"2022-12-17T18:30:00Z","51.6","51.4","51.8","null"
"2022-12-17T18:15:00Z","51.9","51.8","51.9","null"
"2022-12-17T18:00:00Z","51.4","51.2","51.7","null"
"2022-12-17T17:45:00Z","50.7","50.1","51.3","null"
"2022-12-17T17:30:00Z","52.0","51.4","52.6","null"
"2022-12-17T17:15:00Z","52.1","51.8","52.4","null"
"2022-12-17T17:00:00Z","52.0","51.7","52.3","null"
"2022-12-17T16:45:00Z","51.9","51.7","52.1","null"
"2022-12-17T16:30:00Z","51.8","51.7","51.8","null"
"2022-12-17T16:15:00Z","51.6","51.6","51.7","null"
"2022-12-17T16:00:00Z","51.2","51.1","51.4","null"
"2022-12-17T15:45:00Z","50.7","50.4","50.9","null"
"2022-12-17T15:30:00Z","49.9","49.4","50.3","null"
"2022-12-17T15:15:00Z","50.3","49.9","50.8","null"
"2022-12-17T15:00:00Z","51.4","50.9","51.9","null"
"2022-12-17T14:45:00Z","51.9","51.8","52.1","null"
"2022-12-17T14:30:00Z","51.9","51.7","52.1","null"
"2022-12-17T14:15:00Z","52.7","52.2","53.1","null"
"2022-12-17T14:00:00Z","52.1","51.8","52.4","null"
"2022-12-17T13:45:00Z","52.1","52.1","52.2","null"
"2022-12-17T13:30:00Z","52.0","51.9","52.1","null"
"2022-12-17T13:15:00Z","52.2","52.2","52.3","null"
"2022-12-17T13:00:00Z","52.1","51.8","52.4","null"
"2022-12-17T12:45:00Z","51.2","50.7","51.7","null"
"2022-12-17T12:30:00Z","50.3","49.9","50.7","null"
"2022-12-17T12:15:00Z","50.6","50.4","50.8","null"
"2022-12-17T12:00:00Z","50.0","49.8","50.3","null"
"2022-12-17T11:45:00Z","50.0","49.9","50.1","null"
"2022-12-17T11:30:00Z","50.4","50.2","50.7","null"
"2022-12-17T11:15:00Z","50.6","50.4","50.8","null"
"2022-12-17T11:00:00Z","50.4","50.2","50.7","null"
"2022-12-17T10:45:00Z","50.4","50.1","50.7","null"
"2022-12-17T10:30:00Z","50.4","50.2","50.6","null"
"2022-12-17T10:15:00Z","50.5","50.3","50.7","null"
"2022-12-17T10:00:00Z","50.6","50.2","51.1","null"
"2022-12-17T09:45:00Z","50.8","50.6","51.2","null"
"2022-12-17T09:30:00Z","51.4","50.9","51.8","null"
