timestamp,avg,min_v,max_v,stddev_v
"2025-02-27T05:00:00Z","60.8","59.5","62.0","null"
"2025-02-18T20:00:00Z","58.1","57.7","58.7","null"
"2025-02-06T11:00:00Z","60.5","58.8","62.2","null"
"2025-01-30T03:00:00Z","61.5","60.0","63.2","null"
"2025-02-22T11:00:00Z","60.5","58.7","62.3","null"
"2025-02-18T10:00:00Z","59.1","58.7","59.7","null"
"2025-02-19T12:00:00Z","59.1","58.8","59.3","null"
"2025-02-22T08:00:00Z","61.3","60.8","61.8","null"
"2025-01-27T03:00:00Z","61.7","60.2","63.3","null"
"2025-01-19T16:00:00Z","57.0","56.1","57.6","null"
"2025-02-17T07:00:00Z","58.1","57.8","58.8","null"
"2025-01-14T21:00:00Z","59.1","58.4","59.9","null"
"2025-02-25T04:00:00Z","62.4","61.0","63.6","null"
"2025-01-18T23:00:00Z","59.1","59.1","59.1","null"
"2025-01-31T00:00:00Z","61.9","60.3","63.3","null"
"2025-02-04T11:00:00Z","58.6","58.4","58.9","null"
"2025-02-14T19:00:00Z","58.7","58.1","59.1","null"
"2025-02-19T19:00:00Z","58.1","57.8","58.8","null"
"2025-02-19T20:00:00Z","58.6","58.3","58.8","null"
"2025-02-02T13:00:00Z","58.9","58.1","59.6","null"
"2025-02-24T19:00:00Z","61.0","59.6","62.6","null"
"2025-02-26T11:00:00Z","61.7","60.0","63.1","null"
"2025-01-21T10:00:00Z","59.2","58.8","59.8","null"
"2025-01-28T10:00:00Z","61.9","59.4","64.1","null"
"2025-02-28T17:00:00Z","60.1","59.6","61.1","null"
"2025-02-04T09:00:00Z","57.9","57.4","58.4","null"
"2025-01-21T04:00:00Z","59.9","59.2","60.8","null"
"2025-02-23T23:00:00Z","62.3","60.9","63.4","null"
"2025-02-07T03:00:00Z","61.1","59.7","62.8","null"
"2025-01-11T08:00:00Z","57.2","56.5","58.0","null"
"2025-02-08T18:00:00Z","58.7","58.1","59.1","null"
"2025-01-26T08:00:00Z","59.0","57.6","60.6","null"
"2025-01-25T01:00:00Z","61.9","60.4","63.5","null"
